,names,codes,nans,lat,lon
0,IRATI,83836,4.0,-25.50277777,-50.63749999
1,CRUZALTA,83912,5.6,-28.6261111,-53.61388888
2,ENCRUZILHADADOSUL,83964,4.5,-30.54305555,-52.52472221
3,TORRES,83948,7.6,-29.35027777,-49.71666666
4,BOMJESUS,83919,2.5,-28.66944443,-50.44194444
5,BAGE,83980,1.5,-31.30555555,-54.11944443
6,PORTOALEGRE,83967,2.8,-30.05361111,-51.17476666
7,LONDRINA,83766,9.2,-23.32555554,-51.14166666
8,PASSOFUNDO,83914,1.7,-28.2286111,-52.41194444
9,CURITIBA,83842,2.0,-25.4486111,-49.23055554
10,PELOTAS,83985,8.9,-31.78333333,-52.41666666
11,SAOLUIZGONZAGA,83907,2.2,-28.41722221,-54.9625
12,SANTAMARIA,83936,0.5,-29.72472221,-53.72055554
13,MARINGA,83767,2.8,-23.40527777,-51.93277777
14,CAXIASDOSUL,83942,7.7,-29.1961111,-51.18638888
15,SANTAVITORIADOPALMAR,83997,1.1,-33.53166666,-53.35027777
16,FLORIANOPOLIS,83897,10.3,-27.6025,-48.62027777
